BABA,CRM,Port1,TEAM
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.0,1.0,
,0.9889456290637013,0.9889456290637013,
,0.9479592338088304,0.9479592338088304,
,0.9253401517914991,0.9253401517914991,
,0.9178571754737616,0.9178571754737616,
,0.938945577192952,0.938945577192952,
,0.9685374484445143,0.9685374484445143,
,0.9277210872061408,0.9277210872061408,
,0.8991496581488038,0.8991496581488038,
,0.9146258488881945,0.9146258488881945,
,0.9392857302599613,0.9392857302599613,
,0.9520408325177012,0.9520408325177012,
,0.9540816148653336,0.9540816148653336,
,0.9542517339158457,0.9542517339158457,
,0.970748349842659,0.970748349842659,
,0.9462585024873897,0.9462585024873897,
,0.9307823287548014,0.9307823287548014,
,0.8979591819380812,0.8979591819380812,
,0.8355442489038138,0.8355442489038138,
,0.863265286790226,0.863265286790226,
,0.8784014094966226,0.8784014094966226,
,0.94285716739553,0.94285716739553,
,0.9493745586907704,0.9493745586907704,
,0.9712804718495309,0.9712804718495309,
,0.9374259084107444,0.9374259084107444,
,0.9129855054874338,0.9129855054874338,
,0.9079164173342424,0.9079164173342424,
,0.9102698850470486,0.9102698850470486,
,0.9672975522148244,0.9672975522148244,
,0.9464779161986424,0.9464779161986424,
,0.9392363461763552,0.9392363461763552,
,0.9309084446994419,0.9309084446994419,
,0.9377879887222602,0.9377879887222602,
,0.9636767490996653,0.9636767490996653,
,0.9575213656998788,0.9575213656998788,
,0.9086405236452272,0.9086405236452272,
,0.9644009097226973,0.9644009097226973,
,0.9669354719033085,0.9669354719033085,
,0.9841343048043313,0.9841343048043313,
,0.9656681908130029,0.9656681908130029,
,0.9848584835313783,0.9848584835313783,
,0.9528143578582027,0.9528143578582027,
,0.9482883539642537,0.9482883539642537,
,0.9223996116908639,0.9223996116908639,
,0.9245720754559441,0.9245720754559441,
,0.9300032620246675,0.9300032620246675,
,0.9377879887222602,0.9377879887222602,
,0.9361586273204385,0.9361586273204385,
,0.9605990845557955,0.9605990845557955,
,0.9651250884497445,0.9651250884497444,
,0.9602370042442792,0.9602370042442792,
,0.9832291040255413,0.9832291040255413,
,0.9886603086982804,0.9886603086982804,
,1.0467741805925725,1.0467741805925725,
,1.0456879034499937,1.0456879034499937,
,1.0478604396311364,1.0478604396311364,
,1.0411618995560445,1.0411618995560445,
,1.0500329033962161,1.0500329033962161,
,1.0402567168812702,1.0402567168812702,
,1.0393515342064958,1.0393515342064958,
,1.0350065342602734,1.0350065342602734,
,1.0388084318432378,1.0388084318432378,
,1.051481260850311,1.051481260850311,
,1.047838493460792,1.047838493460792,
,1.0427054832275298,1.0427054832275298,
,1.0400504516896742,1.0400504516896742,
,1.014916523650765,1.014916523650765,
,0.9715515690316353,0.9715515690316353,
,0.9664185587983732,0.9664185587983734,
,0.9611085842225323,0.9611085842225323,
,0.9595155865397884,0.9595155865397884,
,0.9687195908511749,0.9687195908511749,
,0.951196651740934,0.951196651740934,
,0.9549136286340304,0.9549136286340304,
,0.9317266269630231,0.9317266269630231,
,0.9469486225203336,0.9469486225203336,
